!CSV A.01.01
!Agilent Technologies,E8361C,US49010277,A.09.20.08
!Agilent E8361C: A.09.20.08
!Date: Thursday, May 03, 2012 14:00:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(REAL),S22(IMAG)
10000000,-0.49585691,0.00017914317
122475000,-0.51239043,-0.0086119082
234950000,-0.50465035,-0.006842379
347425000,-0.50661266,-0.011803503
459900000,-0.51876277,-0.01569779
572375000,-0.51567417,-0.0083385147
684850000,-0.51638222,-0.016609769
797325000,-0.51393318,-0.0081449142
909800000,-0.52447319,-0.0113995
1022275000,-0.51416016,-0.014201793
1134750000,-0.529836,-0.016326152
1247225000,-0.52473849,-0.017425261
1359700000,-0.52778774,-0.02212959
1472175000,-0.54785353,-0.011991777
1584650000,-0.53870076,-0.011344022
1697125000,-0.54055071,-0.0055109835
1809600000,-0.5467959,-0.0048318366
1922075000,-0.53842956,-0.0022544486
2034550000,-0.54225069,0.0015446198
2147025000,-0.54528397,0.0010423377
2259500000,-0.53446549,0.0011157941
2371975000,-0.54688889,0.0027349964
2484450000,-0.54466504,0.0038620206
2596925000,-0.53811073,0.0039291065
2709400000,-0.55052328,0.0053232126
2821875000,-0.54240888,0.006776216
2934350000,-0.54562491,0.0093759345
3046825000,-0.54688627,0.0098122861
3159300000,-0.55276817,0.0085190022
3271775000,-0.5441283,0.01196014
3384250000,-0.55505401,0.014573223
3496725000,-0.55603176,0.017036488
3609200000,-0.54694492,0.022216748
3721675000,-0.55215561,0.024830142
3834150000,-0.54819775,0.024404319
3946625000,-0.54195732,0.023020072
4059100000,-0.54468811,0.024958327
4171575000,-0.5459525,0.026725557
4284050000,-0.55216795,0.027266582
4396525000,-0.54129755,0.025337782
4509000000,-0.55127823,0.026186839
4621475000,-0.54442507,0.026030282
4733950000,-0.55451417,0.029303683
4846425000,-0.55281395,0.030343169
4958900000,-0.54641622,0.030943049
5071375000,-0.54859167,0.032617822
5183850000,-0.55118126,0.033120234
5296325000,-0.55794072,0.035164583
5408800000,-0.55064565,0.035338722
5521275000,-0.55625701,0.038635366
5633750000,-0.56069535,0.042788655
5746225000,-0.54950774,0.043770425
5858700000,-0.55701536,0.04670354
5971175000,-0.55793136,0.048665915
6083650000,-0.55347723,0.049513444
6196125000,-0.54788411,0.049238447
6308600000,-0.55622053,0.051514089
6421075000,-0.55084634,0.052817672
6533550000,-0.54889274,0.053219914
6646025000,-0.55708319,0.055291425
6758500000,-0.54836261,0.054170113
6870975000,-0.54960847,0.054233853
6983450000,-0.55753154,0.056241721
7095925000,-0.54962701,0.054598711
7208400000,-0.55630058,0.056834161
7320875000,-0.56173629,0.059575919
7433350000,-0.5523594,0.059365503
7545825000,-0.55879623,0.063366003
7658300000,-0.56309468,0.066080049
7770775000,-0.56107152,0.068047136
7883250000,-0.5579294,0.070265636
7995725000,-0.55439132,0.070902161
8108200000,-0.56265825,0.074418336
8220675000,-0.55375832,0.0751132
8333150000,-0.55324978,0.076486491
8445625000,-0.55961066,0.079352483
8558100000,-0.55125141,0.079192802
8670575000,-0.55430061,0.08096534
8783050000,-0.55913705,0.083321556
8895525000,-0.54847187,0.082086064
9008000000,-0.55394077,0.08436159
9120475000,-0.55944687,0.087756574
9232950000,-0.54882157,0.087163165
9345425000,-0.55661243,0.090447985
9457900000,-0.55738699,0.09257146
9570375000,-0.54701501,0.090984955
9682850000,-0.55684817,0.094343454
9795325000,-0.55492204,0.095333703
9907800000,-0.5485943,0.095879845
10020275000,-0.54827958,0.097477071
10132750000,-0.54959512,0.098127767
10245225000,-0.55700457,0.10080261
10357700000,-0.54783487,0.09971682
10470175000,-0.55235648,0.10219695
10582650000,-0.5564003,0.10539271
10695125000,-0.54610884,0.10381684
10807600000,-0.55256724,0.10638198
10920075000,-0.55581188,0.10886766
11032550000,-0.54640073,0.10849627
11145025000,-0.55188525,0.1123955
11257500000,-0.55257875,0.11465091
11369975000,-0.5446068,0.11314416
11482450000,-0.55001926,0.11583552
11594925000,-0.54953551,0.11737965
11707400000,-0.544505,0.11596201
11819875000,-0.55323696,0.11975411
11932350000,-0.54823792,0.1195269
12044825000,-0.54565489,0.12132698
12157300000,-0.54867595,0.12424465
12269775000,-0.55265957,0.1282011
12382250000,-0.54165715,0.12565438
12494725000,-0.54896384,0.12928098
12607200000,-0.55089718,0.13147074
12719675000,-0.54227358,0.13001712
12832150000,-0.54214847,0.13214321
12944625000,-0.54632521,0.1350558
13057100000,-0.55038738,0.1388361
13169575000,-0.53967017,0.1380026
13282050000,-0.54482728,0.14158554
13394525000,-0.54636931,0.1446535
13507000000,-0.53591961,0.14373267
13619475000,-0.54324144,0.14648348
13731950000,-0.54139763,0.14674829
13844425000,-0.53429222,0.14581069
13956900000,-0.54181772,0.14925386
14069375000,-0.53778625,0.14923701
